                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                 0.7429,                 1.1478,                 1.3693,                0.62532,                0.61851,                0.67226,                0.47395,                0.92575,                0.85946,                 1.4323,                0.00406,                0.00406,                0.00406
                     63,                0.73521,                  1.126,                  1.364,                0.71669,                0.56914,                0.64836,                0.47468,                0.90907,                0.85642,                 1.4129,               0.003961,               0.003961,               0.003961
                     64,                0.74094,                 1.1174,                 1.3665,                0.66785,                 0.5759,                0.65643,                0.46971,                0.90414,                0.84258,                 1.4057,               0.003862,               0.003862,               0.003862
                     65,                0.74083,                 1.1324,                 1.3713,                0.60035,                0.65303,                0.63383,                0.46653,                 0.9075,                 0.8446,                 1.4072,               0.003763,               0.003763,               0.003763
                     66,                0.73299,                 1.1114,                  1.362,                0.60887,                0.66451,                0.65627,                0.47308,                0.90704,                0.84472,                 1.4092,               0.003664,               0.003664,               0.003664
                     67,                0.73525,                 1.1179,                 1.3629,                0.63528,                 0.6218,                0.67507,                0.47871,                0.91175,                0.85426,                 1.4154,               0.003565,               0.003565,               0.003565
                     68,                0.72942,                 1.1082,                 1.3572,                 0.7807,                 0.5508,                0.66028,                0.47659,                0.90415,                0.84566,                 1.4073,               0.003466,               0.003466,               0.003466
                     69,                0.72669,                 1.0922,                 1.3592,                0.59034,                0.65716,                 0.6515,                0.47292,                0.90633,                 0.8495,                 1.4095,               0.003367,               0.003367,               0.003367
                     70,                0.73074,                 1.0895,                 1.3589,                 0.6033,                0.57444,                0.65167,                0.47217,                0.90505,                0.84689,                 1.4088,               0.003268,               0.003268,               0.003268
                     71,                0.72278,                 1.0771,                 1.3514,                0.66466,                 0.6122,                0.64082,                0.45937,                0.89853,                0.84182,                 1.4055,               0.003169,               0.003169,               0.003169
                     72,                0.72783,                 1.0721,                  1.361,                   0.51,                0.63225,                0.60418,                0.46307,                0.89446,                0.83511,                 1.3967,                0.00307,                0.00307,                0.00307
                     73,                 0.7232,                 1.0819,                  1.354,                 0.6371,                0.56403,                0.64623,                0.46207,                0.89879,                0.84229,                    1.4,               0.002971,               0.002971,               0.002971
                     74,                0.71416,                 1.0609,                  1.344,                0.60781,                0.59684,                0.65128,                0.46474,                0.90044,                 0.8356,                 1.3994,               0.002872,               0.002872,               0.002872
                     75,                0.72047,                 1.0643,                 1.3507,                0.61791,                0.56627,                0.63651,                0.46313,                0.89621,                0.82988,                 1.3953,               0.002773,               0.002773,               0.002773
                     76,                0.71512,                 1.0609,                 1.3442,                0.59745,                0.58349,                0.64527,                0.47101,                0.89326,                0.83082,                 1.3933,               0.002674,               0.002674,               0.002674
                     77,                0.70886,                  1.045,                 1.3396,                0.56773,                0.63351,                0.62122,                0.46316,                0.89309,                0.83034,                 1.3938,               0.002575,               0.002575,               0.002575
                     78,                0.70546,                 1.0401,                 1.3427,                0.69624,                0.58748,                0.64064,                0.47485,                0.89857,                0.82882,                 1.3982,               0.002476,               0.002476,               0.002476
                     79,                0.71006,                 1.0315,                 1.3484,                0.57945,                0.65812,                0.63707,                0.47866,                0.89493,                0.82199,                 1.3936,               0.002377,               0.002377,               0.002377
                     80,                0.70558,                 1.0264,                 1.3427,                0.48899,                0.65456,                0.65315,                0.49308,                0.89549,                0.82224,                 1.3913,               0.002278,               0.002278,               0.002278
                     81,                0.69823,                 1.0127,                 1.3371,                0.52946,                0.61399,                0.65252,                0.47822,                0.89236,                0.82073,                 1.3873,               0.002179,               0.002179,               0.002179
                     82,                0.70514,                 1.0115,                 1.3429,                  0.515,                0.64744,                0.63258,                0.47182,                0.88782,                0.81859,                 1.3822,                0.00208,                0.00208,                0.00208
                     83,                0.70081,                 1.0237,                 1.3344,                0.57026,                0.64074,                0.65988,                0.47748,                0.88796,                0.82138,                 1.3872,               0.001981,               0.001981,               0.001981
                     84,                0.69132,                0.98034,                 1.3279,                0.57109,                0.62724,                0.64908,                0.46993,                0.89041,                0.82233,                  1.389,               0.001882,               0.001882,               0.001882
                     85,                0.69234,                0.99086,                 1.3289,                0.60067,                 0.6366,                0.64959,                0.49553,                0.88597,                0.81786,                 1.3851,               0.001783,               0.001783,               0.001783
                     86,                0.69046,                0.99015,                 1.3304,                0.61715,                0.62101,                0.64844,                0.47659,                0.88472,                 0.8187,                 1.3828,               0.001684,               0.001684,               0.001684
                     87,                0.68252,                0.97849,                 1.3241,                0.61819,                0.63682,                0.65463,                0.48042,                0.88256,                0.81871,                 1.3795,               0.001585,               0.001585,               0.001585
                     88,                0.69002,                0.97101,                 1.3301,                0.61112,                0.64901,                0.67297,                  0.492,                0.87816,                0.81544,                 1.3734,               0.001486,               0.001486,               0.001486
                     89,                0.68854,                0.98053,                 1.3278,                0.58826,                0.65453,                0.66006,                0.48513,                0.87962,                0.81404,                 1.3757,               0.001387,               0.001387,               0.001387
                     90,                0.68032,                0.97117,                 1.3186,                0.58581,                0.68057,                0.65962,                0.47951,                0.87864,                0.81679,                 1.3752,               0.001288,               0.001288,               0.001288
                     91,                0.68768,                0.80544,                  1.438,                 0.5934,                0.65705,                0.67019,                0.49102,                0.87122,                0.81467,                 1.3682,               0.001189,               0.001189,               0.001189
                     92,                0.67309,                0.77675,                  1.418,                0.56368,                0.67286,                0.67338,                 0.4957,                0.86771,                0.80959,                 1.3645,                0.00109,                0.00109,                0.00109
                     93,                0.66681,                0.76395,                 1.4136,                0.57189,                0.68461,                0.67361,                0.50197,                0.86664,                0.80282,                 1.3642,               0.000991,               0.000991,               0.000991
                     94,                0.65608,                0.75655,                  1.406,                0.59914,                 0.6544,                0.67564,                0.50186,                0.86709,                0.80325,                 1.3664,               0.000892,               0.000892,               0.000892
                     95,                0.65242,                0.73913,                 1.4019,                0.59369,                0.66335,                0.68781,                0.50714,                0.86608,                0.80314,                  1.367,               0.000793,               0.000793,               0.000793
                     96,                 0.6518,                0.74205,                 1.4028,                 0.6318,                0.65894,                0.69094,                0.51097,                0.86615,                0.80377,                 1.3665,               0.000694,               0.000694,               0.000694
                     97,                0.64653,                0.72481,                 1.3877,                 0.6289,                0.65693,                0.69511,                0.50923,                0.86504,                0.80063,                 1.3658,               0.000595,               0.000595,               0.000595
                     98,                0.63911,                0.71957,                 1.3886,                0.62964,                0.65609,                0.69711,                0.50998,                0.86283,                0.79737,                 1.3636,               0.000496,               0.000496,               0.000496
                     99,                0.63842,                0.71549,                 1.3879,                 0.6295,                0.65965,                0.69732,                0.51187,                 0.8613,                0.79496,                 1.3617,               0.000397,               0.000397,               0.000397
                    100,                0.63246,                0.69944,                 1.3794,                0.62863,                0.66806,                0.69922,                 0.5119,                0.86134,                0.79493,                 1.3625,               0.000298,               0.000298,               0.000298
